學年度,設立別,學程別,群科別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數
104,私立,實用技能學程,餐旅群,3541,23,154,273,37,14,2,46
104,私立,實用技能學程,美容造型群,1187,22,7,74,4,6,4,9
104,私立,進修部,學術群,217,5,5,9,6,2,4,64
104,私立,進修部,機械群,169,0,12,3,0,1,0,2
104,私立,進修部,動力機械群,727,0,60,48,4,3,0,8
104,私立,進修部,電機與電子群,761,9,51,39,5,7,2,10
104,私立,進修部,商業與管理群,2088,12,100,132,6,12,4,41
104,私立,進修部,外語群,311,0,5,30,0,0,0,3
104,私立,進修部,設計群,416,0,12,14,10,7,1,8
104,私立,進修部,家政群,1420,6,47,64,10,11,10,20
104,私立,進修部,餐旅群,4183,41,168,203,41,9,17,48
104,私立,進修部,藝術群,150,1,7,3,0,0,0,3
105,國立,普通科,學術群,27679,10,109,17,506,3,9,10
105,國立,專業群科,機械群,3347,16,86,18,40,4,0,17
105,國立,專業群科,動力機械群,958,0,107,8,11,1,0,6
105,國立,專業群科,電機與電子群,3947,8,185,20,41,1,1,30
105,國立,專業群科,化工群,846,0,20,3,11,0,0,5
105,國立,專業群科,土木與建築群,1007,3,42,5,13,1,2,7
105,國立,專業群科,商業與管理群,6136,9,69,33,37,5,1,13
105,國立,專業群科,外語群,927,0,3,0,10,0,1,3
105,國立,專業群科,設計群,1139,2,5,7,15,0,0,4
105,國立,專業群科,農業群,1590,1,72,30,11,3,0,1
105,國立,專業群科,食品群,1128,3,31,29,3,0,0,2
105,國立,專業群科,家政群,1186,0,7,13,3,0,1,1
